name,name2,HPM
100AM,100 AM,0
111 Somerset,111 Somerset,0
i12 Katong,112 Katong,0
313@somerset,313@somerset,0
321 Clementi,321 Clementi,0
888 Plaza,888 Plaza,0
Admiralty Place,Admiralty Place,0
Alexandra Central Mall,Alexandra Central,0
Alexandra Retail Centre,Alexandra Retail Centre,0
AMK Hub,AMK Hub,1
Anchorpoint,Anchorpoint,1
Anchorvale Village,Anchorvale Village,0
Aperia Mall,Aperia,0
Beauty World Centre,Beauty World Centre,0
Bedok Mall ,Bedok Mall,1
Boon Lay Shopping Centre,Boon Lay Shopping Centre,0
Bras Basah Complex,Bras Basah Complex,0
Buangkok Square,Buangkok Square,1
Bugis Junction,Bugis Junction,1
Bugis Street,Bugis Street,1
Bugis+,Bugis+,1
Bukit Panjang Plaza,Bukit Panjang Plaza,1
Bukit Timah Plaza,Bukit Timah Plaza,0
Bukit Timah Shopping Centre,Bukit Timah Shopping Centre,0
Canberra Plaza,Canberra Plaza,1
Capitol Singapore,Capitol Singapore,0
Causeway Point,Causeway Point,0
Century Square,Century Square,1
Changi City Point,Changi City Point,1
Chinatown Point,Chinatown Point,0
Cinelesiure,Cinelesiure,0
City Plaza,City Plaza,0
City Square Mall,City Square Mall,0
Citylink,Citylink,0
Compass One,Compass One,1
Coronation Shopping Plaza,Coronation Shopping Plaza,0
CQ@Clarke Quay,CQ@Clarke Quay,0
Dawson PLace,Dawson PLace,0
Delfi Orchard,Delfi Orchard,0
Depot Heights Shopping Centre,Depot Heights Shopping Centre,0
Djitsun Mall Ang Mo Kio,Djit sun Mall Ang Mo Kio,0
Djitsun Mall Bedok,Djitsun Mall Bedok,0
Downtown East,Downtown East,1
Eastpoint,Eastpoint Mall,1
Elias Mall,Elias Mall,1
Fajar Shopping Centre,Fajar Shopping Centre,0
Far East Square,Far East Square,0
Fortune Centre,Fortune Centre,0
Forum Shopping Mall,Forum Shopping Mall,0
Funan,Funan,1
GR.ID,GR.ID,0
Grantral Mall@Clementi,Grantral Mall@Clementi,0
Grantral Mall@Macpherson,Grantral Mall@Macpherson,0
Great World Shopping Centre,Great World City,0
Greenridge Shopping Centre,Greenridge Shopping Centre,0
Greenwich V,Greenwich V,0
Guoco Tower,Guoco Tower,0
Harbourfront Centre,Harbourfront Centre,0
Heartland Mall,Heartland Mall,0
Hillion Mall,Hillion Mall,1
Hillv2,Hillv2,0
Hougang 1,Hougang 1,0
Hougang Mall,Hougang Mall,0
Hougang Rivercourt,Hougang Rivercourt,1
Icon Village,Icon Village,0
IMM,IMM,1
