Company_Name,Brand_Name,FnB_Setting,Dining_Concept,Category,Name_of_Outlet,Outlet_Address,Regions,Menu_Item_Endorsement_Criteria,postal
 IVEGAN PTE. LTD.,ivegan pte ltd,Restaurant,,Other,thomson plaza outlet,301 upper thomson road #01-109 thomson plaza Singapore 574408,Central,"Lower in calories, Higher in wholegrains, Higher in wholegrains and lower in calories",574408
Abaavo Group Private Limited,Wingstop,Quick Service Restaurant/Fast Food,Halal,Fast Food,Wingstop - Hougang Rivercourt,377 Hougang Street 32 #1-33 Hougang Rivercourt Singapore 530377,North-East,Lower in calories,530377
Abaavo Group Private Limited,WINGSTOP,Quick Service Restaurant/Fast Food,Halal,Fast Food,Hougang Rivercourt,377 Hougang Street 32 #1-33 Hougang Rivercourt Singapore 530377,North-East,Lower in calories,530377
Abaavo Group Private Limited,WINGSTOP,Quick Service Restaurant/Fast Food,Halal,Fast Food,Heartbeat @ Bedok,11 Bedok North Street 1 #1-32 Heartbeat@Bedok Singapore 469662,East,Lower in calories,469662
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - Bedok Mall,311 New Upper Changi Road #01-77 S 467360,East,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",467360
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - Causeway Point,"1 Woodlands Square, #02-08/09, Causeway Point S738099",North,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",738099
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - Clementi Mall,"3155 Commonwealth Ave West, #05-31/32/33, Clementi Mall S 129588",West,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",129588
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - Compass One,"1 Sengkang Square, #B1-16, Compass One S 545078",North-East,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",545078
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - Ehub@Downtown East,1 Pasir Ris Close #02-121/122 Singapore 519599,East,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",519599
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - IMM,"2 Jurong East St 21, #01-111, IMM S 609601",West,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",609601
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - Junction 8,"9 Bishan Place #01-39, Junction 8 S 579837",Central,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",579837
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - Jurong Point,"63 Jurong West Central 3, #B1-64, Jurong Point S 648886",West,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",648886
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - NEX,"23 Serangoon Central, #02 - 07/08, Nex Mall, Singapore 556083",North-East,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",556083
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - North Point,"930 Yishun Ave 2 #01-16/17, North point S 769098",North,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",769098
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - Parkway Parade,"80 Marine Parade Road #B1-33/34, Parkway Parade S  449269",East,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",449269
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - Plaza Singapura,"68 Orchard Road #03-23, Plaza Singapura S 238839",Central,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",238839
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - Tampines Mall,"4 Tampines Central 5, #03-30, Tampines Mall S 529510",East,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",529510
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - Thomson Plaza,"301 Upper Thomson Road #03-23, Thomson Plaza S 574408",Central,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",574408
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - West Mall,"1 Bukit Batok Central Link #02-05, West Mall S 658713",West,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",658713
ABR Holdings Limited,Swensen's,Restaurant,Halal,Western,Swensens - Singpost Centre,"10 Eunos Road 8, #02-136/137 Singapore 408600",East,"Lower in calories, Lower in sugar, No added sugar, Healthier children's meal, Lower in sugar and source of dietary fibre",408600
