name,address,vaccine,postal
Kent Ridge Clinic,"1 Lower Kent Ridge Road, One@KentRidge #01-40, Singapore 11908",Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above),11908
The Clinic @ Marina One,"5 Straits View, Marina One The Heart #01-07, Singapore 018935","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",18935
Raffles Medical (Marina Bay Financial Centre),"12 Marina Boulevard, Marina Bay Financial Centre Tower 3 #17-05, Singapore 018982",Pfizer/Comirnaty (JN.1) (12 years old & above),18982
Minmed Clinic (Marina Bay),"8A Marina Boulevard, Marina Bay Link Mall #B2-73/74, Singapore 018984",Pfizer/Comirnaty (JN.1) (12 years old & above),18984
Bethesda Medical Centre (Suntec),"3 Temasek Boulevard, Suntec City Mall #03-330, Singapore 038983","Pfizer/Comirnaty (JN.1)(5 to 11 years old)(12 years old & above), Moderna/Spikevax (JN.1)(5 years old to 11 years old)(12 years old and above)",38983
Raffles Medical (Marina Square),"6 Raffles Boulevard, Marina Square #01-212, Singapore 039594",Moderna/Spikevax (JN.1) (12 years old and above),39594
The Clinic @ Taiseng,"18 Tai Seng Street, Mapletree 18 #01-45481, Singapore 539775","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",45481
Raffles Medical (Raffles Place),"50 Raffles Place, Singapore Land Tower, #01-02A, Singapore 048623",Pfizer/Comirnaty (JN.1) (12 years old & above),48623
The Clinic @ Capitagreen,"138 Market Street, Capitagreen #02-01A, Singapore 048946","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",48946
Northeast Medical Group,"22 Malacca Street, RB Capital Building #13-03, Singapore 048980",Pfizer/Comirnaty (JN.1) (12 years old & above),48980
Parkway Shenton Medical Clinic (Collyer Quay),"11 Collyer Quay, The Arcade #19-01, Singapore 049317",Pfizer/Comirnaty (JN.1) (12 years old & above),49317
The Medical Clinic Pte. Ltd.,"63 Chulia Street, OCBC Centre East #01-02, Singapore 049514",Pfizer/Comirnaty (JN.1) (12 years old & above),49514
Family Medicine Clinic Chinatown,"133 New Bridge Road #02-09, Singapore 059413",Pfizer/Comirnaty (JN.1) (12 years old & above),59413
Minmed Clinic (Chinatown),"133 New Bridge Road, Chinatown Point #02-32, Singapore 059413",Pfizer/Comirnaty (JN.1) (12 years old & above),59413
Healthway Medical (Downtown Gallery),"6A Shenton Way, Downtown Gallery #02-15, Singapore 068815",Pfizer/Comirnaty (JN.1) (12 years old & above),68815
Raffles Medical (CapitalSky),"79 Robinson Road, CapitaSky #01-04, Singapore 068897",Moderna/Spikevax (JN.1) (12 years old and above),68897
Trinity Medical (Shenton),"144 Robinson Road, Robinson Square #08-02, Singapore 068908",Pfizer/Comirnaty (JN.1) (12 years old & above),68908
The Clinic @ Capital Tower,"168 Robinson, Captial Tower #02-02, Singapore 68912","Pfizer/Comirnaty (JN.1) (12 years old & above), Moderna/Spikevax (JN.1) (12 years old and above)",68912
Bridgepoint Health,"7 Erskine Road, Singapore 069320",Pfizer/Comirnaty (JN.1) (12 years old & above),69320
Parkway Shenton Medical Clinic (Wallich Street),"7 Wallich Street, Guoco Tower #03-10, Singapore 78884",Moderna/Spikevax (JN.1) (12 years old and above),78884
