MALL_NAME,HPM,LAT,LNG,hpb_event_count,hpb_session_count,total_participation,edsh_store_count,edsh_scan_count_12m,catchment_population,catchment_seniors,supermarket_outlet_count
100 AM,0,1.2749347475094,103.843552412915,0,0,0,4,28436,21493,4970,1
111 Somerset,0,1.30030012346783,103.837312465913,27,61,615,2,34601,21068,3039,1
112 Katong,0,1.30520653617341,103.905046110228,3,3,56,4,23235,35844,7786,1
313@somerset,0,1.30101436404056,103.838360664485,0,0,0,6,1785,19324,2751,0
321 Clementi,0,1.31200212030821,103.764986676365,0,0,0,3,0,68115,16402,0
888 Plaza,0,1.43767919837363,103.795136732901,6,54,1062,3,162100,125498,17594,1
AMK Hub,1,1.3693779583276433,103.84847779615366,13,195,6081,63,647674,73646,20916,1
Admiralty Place,0,1.4397314709032,103.80178412105352,0,0,0,0,0,111436,14223,0
Alexandra Central,0,1.287369666541455,103.805349009986,0,0,0,0,0,42917,10246,0
Alexandra Retail Centre,0,1.27398639988204,103.801264139551,3,3,39,14,60973,13827,2732,1
Anchorpoint,1,1.2887747348885399,103.8053088718595,6,54,1069,25,24500,51003,11914,1
Anchorvale Village,0,1.39660437548252,103.888410606895,4,4,34,17,253657,80407,9475,1
Aperia,0,1.3103609385971433,103.86411481398433,27,100,2581,10,33066,36030,9347,1
Beauty World Centre,0,1.34241264188643,103.776539385678,0,0,0,19,90872,24730,5107,1
Bedok Mall,1,1.32475054237912,103.92918919889,3,3,42,31,237603,71074,20674,1
Boon Lay Shopping Centre,0,1.34637376380504,103.712472819666,1,1,3,4,210171,74248,14390,1
Bras Basah Complex,0,1.2968210778865767,103.85362473419299,7,55,822,5,17144,8370,1809,0
Buangkok Square,1,1.383980841797396,103.8819980783484,16,149,2389,9,43941,74219,13244,2
Bugis Junction,1,1.2994627412592599,103.8556832865105,1,1,0,42,71267,16643,4402,1
Bugis Street,1,null,null,0,0,0,0,0,0,0,0
Bugis+,1,1.29966016502847,103.853518084567,0,0,0,9,673,15542,3980,0
Bukit Panjang Plaza,1,1.38052239451717,103.764051414862,7,54,2414,32,204620,98327,20123,1
Bukit Timah Plaza,0,1.33864421450189,103.778572949059,3,50,671,7,141321,18747,4191,1
Bukit Timah Shopping Centre,0,1.34316475341698,103.776031354379,0,0,0,0,0,23683,4901,0
CQ@Clarke Quay,0,1.2903521566013259,103.8457781918886,11,64,808,2,0,14777,4043,0
Canberra Plaza,1,1.44349544527985,103.830345369213,29,94,4667,11,135334,58413,6848,1
Capitol Singapore,0,1.29298775382221,103.851046829843,0,0,0,0,0,5603,1196,0
Causeway Point,0,1.43600784474269,103.78568873405,0,0,0,43,247632,76356,11932,2
Century Square,1,1.35236829566862,103.943812302253,8,78,2113,31,58962,81929,20958,2
Changi City Point,1,1.33414983488993,103.962981783778,7,46,503,49,13142,3690,741,1
Chinatown Point,0,1.2835124676378173,103.84357775391399,11,106,1585,13,126115,24425,6673,1
Cinelesiure,0,1.30149264852924,103.836406753067,0,0,0,4,2686,19940,3048,0
City Plaza,0,1.31480522272254,103.893418325845,0,0,0,0,0,36879,7882,0
City Square Mall,0,1.3111960330469,103.856648119855,4,102,2686,19,179213,39746,9733,1
Citylink,0,1.2927777312893,103.854173501417,0,0,0,6,1453,4276,1064,0
Compass One,1,1.3920543053799,103.895063884132,2,50,290,64,185100,122336,18142,1
Coronation Shopping Plaza,0,1.32383369976841,103.810002032513,0,0,0,5,58434,14364,3067,1
Dawson PLace,0,1.29270339855062,103.810958956467,4,4,32,17,96354,61578,13529,1
Delfi Orchard,0,1.30717805424682,103.82846871252,0,0,0,1,0,14145,2839,0
Depot Heights Shopping Centre,0,1.280854816643415,103.81021760706099,4,4,14,1,36718,39946,10093,1
Djit sun Mall Ang Mo Kio,0,1.37286217975215,103.847644977493,19,301,7191,0,0,68977,19481,0
Djitsun Mall Bedok,0,1.32613455591565,103.929564227143,0,0,0,0,0,78187,22816,0
Downtown East,1,1.3766980678365,103.95514122442,13,141,1719,18,102000,39802,7597,1
Eastpoint Mall,1,1.34269199750599,103.953050756306,7,54,477,12,259118,54098,13514,1
Elias Mall,1,1.378233797109625,103.9421461200345,4,4,19,5,19865,51041,8172,2
Fajar Shopping Centre,0,1.3837765670508135,103.77107313803833,4,4,50,11,20116,85588,17170,2
Far East Square,0,1.2832553980989554,103.8482526610396,34,267,6010,2,0,13787,3846,0
Fortune Centre,0,1.30041423392971,103.852292796726,0,0,0,1,4778,15720,3957,0
Forum Shopping Mall,0,1.30624873073847,103.829034914315,0,0,0,6,5070,14387,2800,0
Funan,1,1.29116965816748,103.849954785643,54,549,12073,33,30078,5463,1642,1
GR.ID,0,1.30010826723486,103.849264127911,0,0,0,1,2278,12268,2878,0
Grantral Mall@Clementi,0,1.31421090199895,103.765144799558,0,0,0,2,0,67277,15482,0
Grantral Mall@Macpherson,0,1.33375187570527,103.887745947807,2,5,63,0,0,24457,5961,0
Great World City,0,1.29380235105066,103.831757911057,19,371,8544,16,82952,40953,8293,1
Greenridge Shopping Centre,0,1.38529556526689,103.766170530147,9,9,168,16,153615,96804,17498,2
Greenwich V,0,1.38739539397015,103.869135978173,0,0,0,7,27472,45482,7729,1
Guoco Tower,0,1.27686946060894,103.84545044863981,17,28,473,6,3445,23438,5331,0
Harbourfront Centre,0,1.26447844519217,103.820315193363,13,60,1090,39,49470,7037,1421,2
Heartland Mall,0,null,null,0,0,0,11,76718,0,0,1
Hillion Mall,1,1.37834972034942,103.76274117487,7,150,2598,35,352211,83497,17463,1
Hillv2,0,1.36267450828024,103.76417292006,0,0,0,6,35316,21447,4039,1
Hougang 1,0,1.37564335420805,103.879512065101,6,51,303,29,282764,83610,19348,1
Hougang Mall,0,1.37248308734511,103.893788141349,3,3,49,22,135767,83325,20006,1
Hougang Rivercourt,1,1.3626130087222799,103.89470371436249,7,55,1309,3,443,43388,11235,2
IMM,1,1.318383944860855,103.770340360027,30,237,7763,23,120847,56675,14068,1
ION Orchard,0,1.30409785787899,103.832251902468,0,0,0,11,16012,19459,3320,1
Icon Village,0,1.27516997523174,103.844496312645,0,0,0,1,18421,20452,4716,0
Jelita Mall,0,1.31754555939886,103.785850542515,0,0,0,3,36144,24215,6013,1
Jem,1,1.332806161101355,103.743382971501,4,59,1104,79,317682,22252,5704,1
Jewel Changi Airport,0,1.36023106736765,103.989457201894,3,3,54,21,45868,1,0,1
Joo Chiat Complex,0,1.31585905896007,103.898376166223,4,4,47,0,0,37633,7877,0
Jubilee Square,0,1.37178558575829,103.847837565378,0,0,0,1,0,70260,19789,0
Junction 10,0,1.38055127973087,103.760106974822,3,3,53,3,0,82670,16721,1
Junction 8,1,1.35023943020568,103.848582233239,43,505,8346,66,320207,48583,12445,1
Junction Nine,0,1.43306021695327,103.841649364872,2,2,35,2,0,75488,14137,1
Jurong Point,1,1.33945200436319,103.706685012654,9,122,3456,25,58581,71362,11823,1
KAP,0,1.33689740327129,103.81502081339534,0,0,0,2,0,3169,787,0
KINEX,1,1.31474238838871,103.8945518516,25,163,4140,5,0,36410,7529,0
Kada@Maxwell,0,1.28033142727315,103.844747227479,1,1,2,108,0,25706,6469,0
Kallang Wave Mall,0,1.30307515150401,103.873149707591,3,117,2846,7,70687,9430,1907,1
Kampung Admiralty,1,1.4395733353700566,103.800804402759,26,396,5467,70,196719,119873,15313,1
Katong Shopping Centre,0,1.3040973115095,103.901515916971,4,41,1064,1,441,31341,6673,0
Katong V,0,1.30386120759163,103.902871405205,0,0,0,1,46571,30652,6544,1
Kitchener Complex,0,1.3085785133212249,103.8616803097545,5,5,49,3,109466,30946,8167,1
Komo Shoppes,0,null,null,0,0,0,1,25271,0,0,1
Le Quest,0,1.3559992788721165,103.74111496405101,0,0,0,4,80511,67565,10250,1
Lentor Modern,0,null,null,0,0,0,1,18219,0,0,1
Limbang Shopping Centre,1,1.3920462948082901,103.74332230311899,8,56,805,4,111906,49383,8593,2
Lot One Shoppers' Mall,1,1.38493874036122,103.745022476677,14,111,3546,49,359914,78040,14403,1
Loyang Point,0,1.36645364010349,103.964598499523,4,4,66,32,77826,53308,10757,2
Lucky Chinatown,0,1.28364109688899,103.843311644287,0,0,0,5,1564,24472,6692,1
Lucky Plaza,0,1.3044637897474,103.834005158524,0,0,0,4,1406,17694,3050,0
Mandarin Orchard,0,1.30206450556085,103.836340953748,0,0,0,0,0,20085,3117,0
Marina Square,0,1.291286279908955,103.857382801884,13,152,3677,10,3132,2278,450,0
Millenia Walk,0,1.29296504146626,103.859343968909,49,777,19396,6,2276,3874,607,0
NTP+,0,1.35202130773919,103.860771976676,7,53,482,0,0,32219,8510,0
New Bahru,0,1.292533740366295,103.83946965071,0,0,0,1,10286,22924,4809,1
New Bridge Centre,0,1.2827539442037,103.842765828008,0,0,0,0,0,26701,7109,0
Nex,1,1.3173806569871125,103.832602953227,7,53,1171,45,527245,16571,2779,2
Ngee Ann City,0,1.30236334302503,103.83484472058099,2,6,162,6,70034,20809,3427,1
Northpoint City,0,1.4286217231799931,103.83619182014634,4,44,1413,70,551519,93832,21351,2
Northshore Plaza,1,1.417361351250375,103.90169810479401,28,108,1696,18,105481,26876,3097,1
Oasis Terraces,1,1.40278015725693,103.913215101343,5,42,1208,15,191783,91311,10488,1
One Holland Village,0,1.3120339536216676,103.793731429766,0,0,0,2,27092,31851,8758,1
One Raffles Place,0,1.28433994320248,103.850982346718,0,0,0,18,0,8335,2451,0
Orchard Central,0,1.30083890839245,103.839434733899,0,0,0,1,0,19891,2790,0
Orchard Gateway,0,1.30160116957544,103.838868886519,0,0,0,0,0,19597,2772,0
Pacific Plaza,0,1.30654704697701,103.832128174215,0,0,0,1,0,17017,3085,0
Palais Renaissance,0,1.30665484543191,103.829588045188,0,0,0,0,0,15414,2912,0
Parc Point,0,1.360278595398732,103.73877441271617,2,25,505,1,34052,56135,7161,1
Parkway Parade,1,1.30126387221013,103.905132814156,2,52,851,38,223527,28145,6266,2
Pasir Ris Mall,0,null,null,1,1,23,9,72155,0,0,1
Pasir Ris West Plaza,0,1.37960140023958,103.9363012991025,4,4,33,21,179842,36252,5853,2
Paya Lebar Quarter,1,1.31756115921,103.892836694432,5,50,1034,32,146182,42030,9691,1
Paya Lebar Square,0,1.31881486980278,103.892580778242,2,9,870,35,6490,40802,9843,1
Peninsula Plaza,0,1.29222075807721,103.850612609298,0,0,0,1,889,5415,1332,0
Peninsula Shopping Complex,0,1.29180507632859,103.850267818788,0,0,0,0,0,5460,1425,0
