name,HPM,latitude,longitude,postal,count_of_postal_codes
100 AM,0,1.274682815,103.8434884,079027,1
111 Somerset,0,1.30020625685961,103.8373171327961,238164,1
112 Katong,0,1.305206536173404,103.9050461102276,428802,1
313@somerset,0,1.301014364040584,103.8383606644851,238895,1
321 Clementi,0,1.312002120308228,103.7649866763643,129905,1
888 Plaza,0,1.437123015004346,103.7953143838222,730888,1
Admiralty Place,0,1.439386153805416,103.801706470491,730678,4
Admiralty Place,0,1.439386153805416,103.801706470491,730679,4
Admiralty Place,0,1.439386153805416,103.801706470491,730680,4
Admiralty Place,0,1.439386153805416,103.801706470491,730677,4
Alexandra Central,0,1.287456123776994,103.8054146520141,159971,2
Alexandra Central,0,1.287456123776994,103.8054146520141,159972,2
Alexandra Retail Centre,0,1.274148936,103.8013994,119963,1
AMK Hub,1,1.36938922717718,103.8484779656673,569933,3
AMK Hub,1,1.36938922717718,103.8484779656673,569934,3
AMK Hub,1,1.36938922717718,103.8484779656673,567751,3
Anchorpoint,1,1.288934779744979,103.8056077793991,159953,2
Anchorpoint,1,1.288934779744979,103.8056077793991,159952,2
Anchorvale Village,0,1.396544677116974,103.8881632670274,540339,3
Anchorvale Village,0,1.396544677116974,103.8881632670274,542339,3
Anchorvale Village,0,1.396544677116974,103.8881632670274,541339,3
Aperia,0,1.31047366757341,103.8643132181596,339509,3
Aperia,0,1.31047366757341,103.8643132181596,339511,3
Aperia,0,1.31047366757341,103.8643132181596,339510,3
Beauty World Centre,0,1.342412641886426,103.7765393854061,588177,1
Bedok Mall,1,1.32611970329469,103.929554495615,467360,1
Boon Lay Shopping Centre,0,1.346335524573169,103.7124303734547,640221,1
Bras Basah Complex,0,1.296794863571021,103.8539071855816,180231,3
Bras Basah Complex,0,1.296794863571021,103.8539071855816,180232,3
Bras Basah Complex,0,1.296794863571021,103.8539071855816,180233,3
Buangkok Square,1,1.384587372504694,103.8822490919144,530991,8
Buangkok Square,1,1.384587372504694,103.8822490919144,531991,8
Buangkok Square,1,1.384587372504694,103.8822490919144,531992,8
Buangkok Square,1,1.384587372504694,103.8822490919144,532992,8
Buangkok Square,1,1.384587372504694,103.8822490919144,532991,8
Buangkok Square,1,1.384587372504694,103.8822490919144,530992,8
Buangkok Square,1,1.384587372504694,103.8822490919144,535991,8
Buangkok Square,1,1.384587372504694,103.8822490919144,536991,8
Bugis Junction,1,1.299812607759799,103.8559553992625,188021,2
Bugis Junction,1,1.299812607759799,103.8559553992625,188024,2
Bugis Street,1,1.300673802101928,103.8548309434393,189876,1
Bugis+,1,1.299603689902971,103.8542423474883,188067,1
Bukit Panjang Plaza,1,1.379920451762434,103.764357180314,677743,1
Bukit Timah Plaza,0,1.338631652774515,103.7785854309745,588996,2
Bukit Timah Plaza,0,1.338631652774515,103.7785854309745,588998,2
