MALL_NAME,HPM,LAT,LNG,hpb_event_count,hpb_session_count,total_participation,edsh_store_count,edsh_scan_count_12m,catchment_population,catchment_seniors
100 AM,0,1.2749347475094,103.843552412915,0,0,0,4,29359,26639,5400
111 Somerset,0,1.30030012346783,103.837312465913,89,247,2451,2,35690,26217,3231
112 Katong,0,1.30520653617341,103.905046110228,45,167,1616,4,24448,39419,8203
313@somerset,0,1.30101436404056,103.838360664485,0,0,0,6,1737,24204,2927
321 Clementi,0,1.31200212030821,103.764986676365,0,0,0,3,0,76250,17529
888 Plaza,0,1.43767919837363,103.795136732901,17,185,3216,3,169678,135020,18696
AMK Hub,1,1.3693779583276433,103.84847779615366,71,1667,45143,63,679217,82409,22430
Admiralty Place,0,1.4397314709032,103.80178412105352,0,0,0,0,0,120208,15139
Alexandra Central,0,1.287369666541455,103.805349009986,0,0,0,0,0,48421,11020
Alexandra Retail Centre,0,1.27398639988204,103.801264139551,11,11,207,14,62801,15353,2912
Anchorpoint,1,1.2887747348885399,103.8053088718595,28,279,5428,25,25814,56897,12783
Anchorvale Village,0,1.39660437548252,103.888410606895,10,10,98,16,265806,85256,10135
Aperia,0,1.3103609385971433,103.86411481398433,203,996,17215,10,34801,41577,10020
Beauty World Centre,0,1.34241264188643,103.776539385678,0,0,0,19,94550,26989,5377
Bedok Mall,1,1.32475054237912,103.92918919889,14,14,335,31,249333,78172,21992
Boon Lay Shopping Centre,0,1.34637376380504,103.712472819666,3,17,17,4,219735,82091,15276
Bras Basah Complex,0,1.2968210778865767,103.85362473419299,19,192,2374,5,18020,12317,1947
Buangkok Square,1,1.383980841797396,103.8819980783484,97,767,10317,9,46227,79288,13908
Bugis Junction,0,1.2994627412592599,103.8556832865105,4,11,52,42,75758,21552,4718
Bugis Street,0,null,null,0,0,0,0,0,0,0
Bugis+,0,1.29966016502847,103.853518084567,0,0,0,9,629,20455,4259
Bukit Panjang Plaza,1,1.38052239451717,103.764051414862,71,516,11120,32,214287,104717,21265
Bukit Timah Plaza,0,1.33864421450189,103.778572949059,4,100,1337,7,148111,20288,4409
Bukit Timah Shopping Centre,0,1.34316475341698,103.776031354379,1,1,25,0,0,25830,5162
CQ@Clarke Quay,0,1.2903521566013259,103.8457781918886,30,212,2419,2,0,18679,4336
Canberra Plaza,1,1.44349544527985,103.830345369213,84,410,19608,11,142055,62214,7236
Capitol Singapore,0,1.29298775382221,103.851046829843,0,0,0,0,0,8240,1290
Causeway Point,0,1.43600784474269,103.78568873405,0,0,0,43,256322,82353,12649
Century Square,1,1.35236829566862,103.943812302253,15,182,4356,31,60649,88805,21989
Changi City Point,1,1.33414983488993,103.962981783778,27,328,4538,49,14166,4877,780
Chinatown Point,0,1.2835124676378173,103.84357775391399,77,479,7788,13,131111,30483,7220
Cinelesiure,0,1.30149264852924,103.836406753067,13,46,891,4,2555,24790,3232
City Plaza,0,1.31480522272254,103.893418325845,0,0,0,0,0,43635,8458
City Square Mall,0,1.3111960330469,103.856648119855,13,340,7105,19,185277,46461,10349
Citylink,0,1.2927777312893,103.854173501417,0,0,0,6,1439,6642,1159
Compass One,1,1.3920543053799,103.895063884132,3,168,2354,64,194575,132169,19373
Coronation Shopping Plaza,0,1.32383369976841,103.810002032513,0,0,0,5,60497,15619,3194
Dawson PLace,0,1.29270339855062,103.810958956467,14,14,167,17,101912,68535,14534
Delfi Orchard,0,1.30717805424682,103.82846871252,0,0,0,1,0,16395,2965
Depot Heights Shopping Centre,0,1.280854816643415,103.81021760706099,16,25,312,1,38030,44307,10842
Djit sun Mall Ang Mo Kio,0,1.37286217975215,103.847644977493,73,1481,28165,0,0,77093,20839
Djitsun Mall Bedok,0,1.32613455591565,103.929564227143,0,0,0,0,0,85968,24258
Downtown East,1,1.3766980678365,103.95514122442,56,734,8097,18,105936,42756,7949
Eastpoint Mall,1,1.34269199750599,103.953050756306,27,290,2927,12,271030,60615,14188
Elias Mall,1,1.378233797109625,103.9421461200345,27,62,439,5,20763,55433,8657
Fajar Shopping Centre,0,1.3837765670508135,103.77107313803833,15,15,258,11,21863,90470,18143
Far East Square,0,1.2832553980989554,103.8482526610396,35,244,5500,2,0,18536,4151
Fortune Centre,0,1.30041423392971,103.852292796726,1,1,18,1,4846,20498,4236
Forum Shopping Mall,0,1.30624873073847,103.829034914315,0,0,0,6,5902,16900,2922
Funan,0,1.29116965816748,103.849954785643,180,2195,41575,33,30882,7906,1757
GR.ID,0,1.30010826723486,103.849264127911,0,0,0,1,2155,16669,3083
Grantral Mall@Clementi,0,1.31421090199895,103.765144799558,0,0,0,2,0,75005,16579
Grantral Mall@Macpherson,0,1.33375187570527,103.887745947807,6,9,154,0,0,28649,6364
Great World City,0,1.29380235105066,103.831757911057,33,616,13232,16,86742,47377,8867
Greenridge Shopping Centre,0,1.38529556526689,103.766170530147,19,19,302,16,164745,102605,18555
Greenwich V,0,1.38739539397015,103.869135978173,2,9,21,7,29047,47334,8064
Guoco Tower,0,1.27686946060894,103.84545044863981,112,317,5069,6,3713,29593,5799
Harbourfront Centre,0,1.26447844519217,103.820315193363,178,1694,28433,39,53479,8175,1555
Heartland Mall,0,null,null,0,0,0,11,81582,0,0
Hillion Mall,1,1.37834972034942,103.76274117487,74,880,13628,35,371264,89300,18495
Hillv2,0,1.36267450828024,103.76417292006,1,1,2,6,35944,23372,4217
Hougang 1,0,1.37564335420805,103.879512065101,67,457,5637,29,297927,90106,20261
Hougang Mall,0,1.37248308734511,103.893788141349,38,213,5018,22,143813,90746,21251
Hougang Rivercourt,1,1.3626130087222799,103.89470371436249,16,131,2763,3,469,47581,11956
IMM,1,1.318383944860855,103.770340360027,129,1078,30455,23,127711,62678,15014
ION Orchard,0,1.30409785787899,103.832251902468,0,0,0,11,17507,23489,3479
Icon Village,0,1.27516997523174,103.844496312645,0,0,0,1,18490,25611,5137
Jelita Mall,0,1.31754555939886,103.785850542515,0,0,0,3,38136,26372,6415
Jem,1,1.332806161101355,103.743382971501,18,292,5424,79,333173,25795,6036
Jewel Changi Airport,0,1.36023106736765,103.989457201894,8,8,157,21,47500,140,1
Joo Chiat Complex,0,1.31585905896007,103.898376166223,20,20,353,0,0,42679,8393
Jubilee Square,0,1.37178558575829,103.847837565378,0,0,0,1,0,78535,21184
Junction 10,0,1.38055127973087,103.760106974822,9,9,138,3,0,88289,17726
Junction 8,1,1.35023943020568,103.848582233239,123,2312,33649,66,333906,53687,13232
Junction Nine,0,1.43306021695327,103.841649364872,7,7,110,2,0,81809,14841
Jurong Point,1,1.33945200436319,103.706685012654,59,753,19233,25,62500,79435,12601
KAP,0,1.33689740327129,103.81502081339534,0,0,0,2,0,3372,813
KINEX,1,1.31474238838871,103.8945518516,110,692,16945,5,0,42802,8072
Kada@Maxwell,0,1.28033142727315,103.844747227479,1,1,2,108,0,32578,7031
Kallang Wave Mall,0,1.30307515150401,103.873149707591,17,538,13283,7,82893,10773,2020
Kampung Admiralty,1,1.4395733353700566,103.800804402759,147,2032,22824,70,206009,129149,16288
Katong Shopping Centre,0,1.3040973115095,103.901515916971,12,102,2506,1,507,34548,7053
Katong V,0,1.30386120759163,103.902871405205,0,0,0,1,48306,33773,6901
Kitchener Complex,0,1.3085785133212249,103.8616803097545,16,16,176,3,114275,35957,8661
Komo Shoppes,0,null,null,0,0,0,1,26029,0,0
Le Quest,0,1.3559992788721165,103.74111496405101,0,0,0,4,84096,70677,10630
Lentor Modern,0,null,null,1,1,3,1,16851,0,0
Limbang Shopping Centre,1,1.3920462948082901,103.74332230311899,19,134,1662,4,115610,53885,9232
Lot One Shoppers' Mall,1,1.38493874036122,103.745022476677,82,558,11400,49,378090,84490,15386
Loyang Point,0,1.36645364010349,103.964598499523,18,18,271,32,81386,57383,11224
Lucky Chinatown,0,1.28364109688899,103.843311644287,0,0,0,5,1613,30392,7232
Lucky Plaza,0,1.3044637897474,103.834005158524,0,0,0,4,1367,21619,3201
Mandarin Orchard,0,1.30206450556085,103.836340953748,0,0,0,0,0,24882,3301
Marina Square,0,1.291286279908955,103.857382801884,150,998,16856,10,2970,3975,492
Millenia Walk,0,1.29296504146626,103.859343968909,182,3827,77163,6,2064,5667,660
NTP+,0,1.35202130773919,103.860771976676,29,218,2831,0,0,35126,8956
New Bahru,0,1.292533740366295,103.83946965071,3,91,812,1,10750,28099,5151
New Bridge Centre,0,1.2827539442037,103.842765828008,0,0,0,0,0,32980,7688
Nex,0,1.3173806569871125,103.832602953227,24,132,1896,45,550608,18310,2893
Ngee Ann City,0,1.30236334302503,103.83484472058099,12,25,636,6,74712,25627,3605
Northpoint City,0,1.4286217231799931,103.83619182014634,27,163,3071,70,583914,103493,22542
Northshore Plaza,1,1.417361351250375,103.90169810479401,77,316,4422,18,109292,27597,3185
Oasis Terraces,1,1.40278015725693,103.913215101343,85,497,8663,15,200115,97102,11331
One Holland Village,0,1.3120339536216676,103.793731429766,7,7,99,2,28590,36003,9392
One Raffles Place,0,1.28433994320248,103.850982346718,89,459,7344,18,0,11798,2664
Orchard Central,0,1.30083890839245,103.839434733899,0,0,0,1,0,25021,2968
Orchard Gateway,0,1.30160116957544,103.838868886519,0,0,0,0,0,24561,2950
Pacific Plaza,0,1.30654704697701,103.832128174215,16,247,3328,1,0,20281,3231
Palais Renaissance,0,1.30665484543191,103.829588045188,0,0,0,0,0,18039,3041
Parc Point,0,1.360278595398732,103.73877441271617,3,24,512,1,30812,57616,7366
Parkway Parade,1,1.30126387221013,103.905132814156,13,276,3039,38,233226,31013,6604
Pasir Ris Mall,0,null,null,1,1,23,9,75027,0,0
Pasir Ris West Plaza,0,1.37960140023958,103.9363012991025,17,17,172,21,187715,39188,6190
Paya Lebar Quarter,1,1.31756115921,103.892836694432,34,263,4005,32,153119,49240,10387
Paya Lebar Square,0,1.31881486980278,103.892580778242,54,195,4541,35,7424,47882,10534
Peninsula Plaza,0,1.29222075807721,103.850612609298,0,0,0,1,800,7944,1432
Peninsula Shopping Complex,0,1.29180507632859,103.850267818788,20,927,7791,0,0,8045,1527
People Park Complex,0,1.28404487854559,103.842590753293,0,0,0,1,0,29545,7266
Pioneer Mall,0,1.34174316145003,103.697286174545,17,17,193,4,99009,123750,20496
Plantation Plaza,1,1.35759319436135,103.734174851203,11,50,417,2,84506,51350,6032
Plaza Singapura,0,1.30083497231103,103.845072925117,6,36,1336,54,89905,19341,2861
Punggol Coast Mall,0,1.415138929035872,103.9104785675523,10,70,1890,5,50941,19772,2894
Punggol Plaza,0,1.39417447299355,103.913120037036,28,220,3249,29,167100,106223,14614
Queensway Shopping Centre,0,1.2876179255874,103.803391140455,0,0,0,2,0,40755,9116
Raffles City Shopping Centre,0,1.29389357863312,103.853119904656,0,0,0,23,56753,8053,1256
Riverside Point,0,1.2892925052942,103.844167619098,0,0,0,2,17205,21942,5278
Rivervale Mall,0,1.39219777838449,103.904471600025,0,0,0,28,217554,139182,23599
Rivervale Plaza,1,1.38550420775531,103.901988424927,17,17,403,35,398902,117472,19126
Rochester Mall,0,1.30540765569962,103.788446680148,1,2,0,0,0,44142,10896
Scotts Square,0,1.3058027631811249,103.8330671580415,0,0,0,1,30309,20280,3131
Sembawang Point,0,1.4473004927033,103.82010090952433,0,0,0,2,71030,83326,11409
Sembawang Shopping Centre,0,1.44175296834191,103.82479165671,9,206,4137,20,83707,62293,8106
Sengkang Grand Mall,0,1.38298163203344,103.892721007746,41,513,19650,5,138608,110795,18941
Serene Centre,0,1.3225953918961,103.813698681482,0,0,0,2,0,13219,2861
Shaw Centre,0,1.30615048740141,103.83185337296,6,6,12,0,0,19910,3186
Showplace (Resorts World Sentosa),0,1.25524547806487,103.820885377493,0,0,0,7,3470,170,8
Siglap Centre,0,1.312870216055821,103.92404043861512,0,0,0,1,0,27195,6321
Sim Lim Square,0,1.30302298414827,103.853038663425,0,0,0,0,0,26144,5560
Singpost Centre,1,1.31885611019401,103.89406715568,50,306,5734,29,117189,44936,9594
Square 2,0,1.32044103104797,103.844192628979,0,0,0,28,61897,35200,5407
Sun Plaza,0,1.44820036592783,103.819530140823,24,203,2893,20,278880,85954,11765
Sunshine Place,0,1.37789727709418,103.739015486021,15,15,158,6,186820,74903,12019
Suntec City,1,1.29485990186642,103.860333693777,352,1751,32345,22,61501,7787,1309
Taman Jurong Shopping Centre,0,1.33484487471259,103.720462024278,16,16,247,14,250751,43204,7257
Tampines 1,1,null,null,2,5,325,0,0,0,0
Tampines Mall,1,1.35250468330971,103.944682574769,49,408,12776,35,361045,87980,21899
Tanglin Mall,0,1.30485342102105,103.823883490852,23,40,117,11,28441,12558,2431
Tanglin Place,0,1.30527219318576,103.825078876759,19,158,2181,0,0,13518,2555
Teck Whye SC,0,1.38347037456651,103.75363537491633,11,218,2316,0,0,77180,13559
Tekka Place,1,1.30512222179237,103.851438822181,1,1,0,4,0,27905,5762
Terminal 3,1,1.31461695449668,103.889282391877,85,425,7960,39,79552,55862,11542
The Cathay,0,1.29937731917749,103.847741982316,0,0,0,3,0,16768,2770
The Central,0,1.292736966959682,103.84269722617239,30,102,1813,5,2946,24504,4505
The Centrepoint,0,1.3017144122063402,103.839896549137,91,586,11892,5,44711,23989,2872
The Clementi Mall,0,1.31535330743269,103.764651852737,2,2,0,20,367351,74853,16456
The Flow Mall,0,1.30457354662016,103.904203116447,0,0,0,0,0,37621,7710
The Heeren,0,1.30265160142482,103.837367213158,0,0,0,0,0,22302,2944
The Paragon,0,1.30372321739269,103.835240308455,23,214,4442,6,37014,21679,3208
The Poiz Centre,0,1.33135550782584,103.868150095119,5,135,2776,11,84130,50951,9377
The Seletar Mall,0,1.3914064187312,103.876165682945,0,0,0,18,238438,88540,11168
The Shoppes@MBS,0,1.283778729422065,103.8583056970545,1,1,2,10,11272,3646,212
The Star Vista,1,1.30681500712523,103.788462732266,15,240,7178,9,49840,44796,11138
The Woodleigh Mall,0,1.338785241680985,103.8718615856715,19,311,8831,3,195148,50873,8865
Thomson Plaza,0,1.35479436177561,103.830924910072,1,59,174,29,164435,24693,6275
Tiong Bahru Plaza,1,1.28633177192832,103.827550771424,15,24,260,42,274957,76318,19071
UE Square,0,1.2925333003917816,103.84252497737236,59,181,3373,5,17848,24714,4567
