mall_name,Clinic (CHAS),Clinic (PHPC),Gym (GeoJSON),Gym/Sports (CSV),HDP Outlet,Total,has_bike_rack,has_playground,longitude,latitude,HPM,hpb_event_count,hpb_session_count,total_participation,edsh_store_count,edsh_scan_count_12m,catchment_population,catchment_seniors,supermarket_outlet_count,satisfy
Nex,3,1,0,6,36,46,0,1,103.8787293921758,1.320803832320556,1,7.0,53.0,1171.0,45.0,527245.0,16571.0,2779.0,2.0,1
Northpoint City,3,2,0,1,37,43,0,1,103.8361776507003,1.42790289018678,0,4.0,44.0,1413.0,70.0,551519.0,93832.0,21351.0,2.0,1
Suntec City,3,1,1,3,31,39,0,0,103.8590144067362,1.295931894771942,1,67.0,218.0,6653.0,22.0,58064.0,5688.0,1212.0,2.0,0
Compass One,2,2,0,2,30,36,1,1,103.8950705438402,1.39205314156707,1,2.0,50.0,290.0,64.0,185100.0,122336.0,18142.0,1.0,1
Marina Square,1,1,0,17,16,35,0,1,103.8577582680886,1.291117291792165,0,13.0,152.0,3677.0,10.0,3132.0,2278.0,450.0,0.0,1
Waterway Point,3,3,0,0,29,35,1,1,103.9021056807848,1.406484621320066,1,4.0,53.0,1369.0,50.0,232691.0,91581.0,8828.0,1.0,0
Bedok Mall,0,1,0,4,29,34,0,0,103.929554495615,1.32611970329469,1,3.0,3.0,42.0,31.0,237603.0,71074.0,20674.0,1.0,0
Causeway Point,1,1,0,0,30,32,1,1,103.7859815242531,1.436070065080311,0,0.0,0.0,0.0,43.0,247632.0,76356.0,11932.0,2.0,0
Jurong Point,5,5,1,1,19,31,1,0,103.7066850128896,1.339452716614461,1,9.0,122.0,3456.0,25.0,58581.0,71362.0,11823.0,1.0,1
White Sands,2,2,0,4,20,28,0,0,103.9609188693188,1.365557146685551,1,2.0,52.0,1378.0,32.0,205159.0,76428.0,15810.0,1.0,0
VivoCity,0,0,1,0,27,28,0,1,103.8216245803924,1.265050842627599,0,9.0,53.0,1149.0,59.0,276975.0,8846.0,2096.0,1.0,1
City Square Mall,1,0,1,3,23,28,1,1,103.8566240199911,1.311421031076843,0,4.0,102.0,2686.0,19.0,179213.0,39746.0,9733.0,1.0,1
Junction 8,0,0,0,0,26,26,1,1,103.848760473211,1.350481253450499,1,43.0,505.0,8346.0,66.0,320207.0,48583.0,12445.0,1.0,0
Terminal 3,2,1,0,0,22,25,0,0,103.9865622084943,1.356626094134892,1,28.0,146.0,3351.0,39.0,76989.0,47383.0,10701.0,1.0,0
Changi City Point,2,1,0,2,20,25,1,0,103.9629176,1.334036379,1,7.0,46.0,503.0,49.0,13142.0,3690.0,741.0,1.0,1
Jem,1,1,0,1,22,25,1,1,103.7435037081684,1.333059992695819,1,4.0,59.0,1104.0,79.0,317682.0,22252.0,5704.0,1.0,1
Tiong Bahru Plaza,0,0,0,1,24,25,1,1,103.8270152561934,1.286458894728254,1,5.0,13.0,139.0,42.0,262560.0,67849.0,17695.0,1.0,1
The Seletar Mall,3,2,0,1,18,24,1,1,103.876125507257,1.391470153746278,0,0.0,0.0,0.0,18.0,228397.0,84407.0,10588.0,1.0,0
AMK Hub,0,1,1,2,20,24,1,0,103.8484779656673,1.36938922717718,1,13.0,195.0,6081.0,63.0,647674.0,73646.0,20916.0,1.0,1
Eastpoint Mall,1,1,0,2,20,24,1,0,103.9530246182335,1.342705923555769,1,7.0,54.0,477.0,12.0,259118.0,54098.0,13514.0,1.0,1
Sun Plaza,1,1,0,1,20,23,0,0,103.946269422122,1.3591201098526,0,0.0,0.0,0.0,20.0,267157.0,78981.0,10921.0,1.0,0
Chinatown Point,1,2,0,0,20,23,0,0,103.843204514385,1.283017452729275,0,11.0,106.0,1585.0,13.0,126115.0,24425.0,6673.0,1.0,0
Funan,1,0,0,3,19,23,0,0,103.8498750388073,1.291119640281415,1,54.0,549.0,12073.0,33.0,30078.0,5463.0,1642.0,1.0,0
Harbourfront Centre,1,1,1,1,19,23,0,0,103.8185622,1.263775661,0,13.0,60.0,1090.0,39.0,49470.0,7037.0,1421.0,2.0,0
Rivervale Mall,3,1,0,4,15,23,0,0,103.9044716000245,1.392197778384503,0,0.0,0.0,0.0,28.0,195070.0,128938.0,22173.0,1.0,0
Bugis Junction,0,0,2,4,17,23,1,0,103.8559553992625,1.299812607759799,1,1.0,1.0,0.0,42.0,71267.0,16643.0,4402.0,1.0,1
Hougang Mall,1,1,0,0,20,22,1,0,103.8937740666245,1.372491186358026,0,3.0,3.0,49.0,22.0,135767.0,83325.0,20006.0,1.0,0
Plaza Singapura,0,0,1,1,20,22,0,0,103.8450475734307,1.300747709639166,0,0.0,0.0,0.0,54.0,82115.0,14409.0,2654.0,2.0,0
Tampines Mall,0,0,0,2,20,22,1,0,103.9446987510717,1.352527372785196,1,13.0,108.0,4294.0,35.0,342384.0,81202.0,20886.0,1.0,1
Square 2,7,1,1,0,12,21,0,0,103.8441607096606,1.320705109568455,0,0.0,0.0,0.0,28.0,59793.0,29790.0,5136.0,1.0,0
Parkway Parade,0,2,1,0,18,21,0,1,103.9052794915233,1.301069755063101,1,2.0,52.0,851.0,38.0,223527.0,28145.0,6266.0,2.0,1
Downtown East,1,0,0,4,16,21,0,0,103.9554447581442,1.379127178780095,1,13.0,141.0,1719.0,18.0,102000.0,39802.0,7597.0,1.0,0
Lot One Shoppers' Mall,1,1,0,0,19,21,1,1,103.7450117663881,1.38497459672379,1,14.0,111.0,3546.0,49.0,359914.0,78040.0,14403.0,1.0,0
Great World City,1,1,1,7,11,21,0,1,103.8320221466545,1.293422726500028,0,19.0,371.0,8544.0,16.0,82952.0,40953.0,8293.0,1.0,1
United Square,1,1,1,2,15,20,0,0,103.8436114430376,1.317194509885588,1,10.0,59.0,425.0,11.0,50319.0,24194.0,4314.0,1.0,0
Raffles City Shopping Centre,2,1,1,1,15,20,1,0,103.8531199,1.293893579,0,0.0,0.0,0.0,23.0,52343.0,5286.0,1156.0,1.0,0
Westgate,1,1,0,2,16,20,1,1,103.7429444516193,1.334599257412886,1,23.0,226.0,5792.0,10.0,1397.0,31748.0,8221.0,1.0,1
Hougang 1,1,1,0,7,11,20,0,0,103.879472337592,1.37571530699876,0,6.0,51.0,303.0,29.0,282764.0,83610.0,19348.0,1.0,0
Ngee Ann City,3,0,2,3,11,19,0,0,103.8346761247222,1.302424171894113,0,2.0,6.0,162.0,6.0,70034.0,20809.0,3427.0,1.0,0
The Clementi Mall,0,1,0,0,18,19,1,0,103.764423054189,1.314896196393653,0,0.0,0.0,0.0,20.0,351885.0,67386.0,15379.0,1.0,0
Hillion Mall,1,1,0,1,16,19,1,0,103.7628427898765,1.37843100827587,1,7.0,150.0,2598.0,35.0,352211.0,83497.0,17463.0,1.0,1
Heartland Mall,1,1,1,1,14,18,1,0,103.8851673727259,1.359541773255625,0,0.0,0.0,0.0,11.0,76718.0,0.0,0.0,1.0,0
West Mall,1,0,0,0,17,18,1,0,103.7492164938305,1.350021075943163,0,0.0,0.0,0.0,45.0,59427.0,76329.0,16005.0,2.0,0
313@somerset,0,0,0,0,18,18,0,1,103.8383606644851,1.301014364040584,0,0.0,0.0,0.0,6.0,1785.0,19324.0,2751.0,0.0,0
YewTee Point,2,1,0,0,15,18,1,0,103.7464431982236,1.396969922679733,1,0.0,0.0,0.0,30.0,263341.0,68467.0,11278.0,1.0,0
Thomson Plaza,0,0,1,1,15,17,0,0,103.830328102928,1.35432524209239,0,1.0,10.0,22.0,29.0,161801.0,22907.0,5967.0,1.0,0
Bukit Panjang Plaza,1,1,0,0,15,17,0,0,103.764357180314,1.379920451762434,1,7.0,54.0,2414.0,32.0,204620.0,98327.0,20123.0,1.0,0
The Paragon,4,1,1,2,9,17,0,1,103.8358575454689,1.303872308799947,0,0.0,0.0,0.0,6.0,34945.0,17615.0,3049.0,1.0,0
Loyang Point,3,1,0,3,9,16,0,0,103.964632225014,1.367073575256231,0,4.0,4.0,66.0,32.0,77826.0,53308.0,10757.0,2.0,0
Jewel Changi Airport,0,0,0,0,16,16,0,0,103.9890775502096,1.360341006610217,0,3.0,3.0,54.0,21.0,45868.0,1.0,0.0,1.0,0
Paya Lebar Square,1,1,0,0,14,16,1,0,103.8925807785135,1.318814870076511,0,2.0,9.0,870.0,35.0,6490.0,40802.0,9843.0,1.0,0
IMM,0,0,0,0,15,15,0,1,103.793724128024,1.302101271093222,1,30.0,237.0,7763.0,23.0,120847.0,56675.0,14068.0,1.0,0
West Coast Plaza,2,0,0,5,8,15,0,0,103.7661312946774,1.303697489711002,0,5.0,50.0,500.0,6.0,32559.0,39911.0,9250.0,1.0,0
Wisteria Mall,2,2,0,2,9,15,0,0,103.841268831617,1.417952885015354,0,0.0,0.0,0.0,23.0,98589.0,79749.0,13476.0,1.0,0
Zhongshan Mall,1,1,0,1,12,15,0,0,103.8465544,1.326945045,1,2.0,51.0,561.0,7.0,82048.0,41493.0,9216.0,1.0,0
